"NFL","NFL68","bias"
"128","120","167"
"341","320","-186"
"127","103","-114"
"134","108","61"
"520","373","66"
"584","347","-99"
"116","98","-15"
"218","170","91"
"161","29","41"
"243","227","-17"
"189","177","10"
"275","242","-250"
"220","197","28"
"215","192","65"
"173","156","-64"
"143","126","-114"
"131","111","-32"
"228","14","18"
"436","335","1014"
"580","515","10"
"194","160","16"
"108","106","85"
"203","172","54"
"294","274","622"
"107","91","-23"
"121","92","15"
"836","485","184"
"117","106","-34"
"2321","351","-186"
"289","263","0"
"210","182","-52"
"352","78","-80"
"253","209","-37"
"511","408","72"
"140","85","-33"
"649","229","77"
"225","42","1"
"207","189","-522"
"363","318","231"
"1178","782","35"
"318","96","179"
"234","132","1011"
"162","140","-256"
"242","36","236"
"104","85","-46"
"216","194","-332"
"145","129","-263"
"548","206","-361"
"205","181","-1"
"1068","686","76"
"5737","1646","30"
"370","330","84"
"135","122","8"
"213","193","-30"
"164","38","13"
"167","44","48"
"2226","1894","-110"
"153","151","-351"
"101","100","-62119"
"189","173","771"
"237","193","-28"
"300","71","-3"
"249","217","11"
"114","26","6"
"294","238","-354"
"308","272","382"
"265","229","119"
"396","77","-55"
"255","230","10"
"674","631","-271"
"226","195","-48"
"387","14","-39"
"1139","666","5"
"381","63","58"
"109","93","34"
"829","176","70"
"152","106","47"
"709","357","18"
"302","36","21"
"420","171","-90"
"237","199","27"
"326","229","-141"
"240","227","-469"
"393","361","1"
"348","310","-243"
"142","131","-40"
"265","215","282"
"116","88","-18"
"663","466","-419"
"180","24","-73"
"109","83","46"
"1527","774","44"
"264","144","4"
"205","15","3"
"204","32","26"
"416","382","279"
"352","339","-51"
"139","111","18"
"114","107","-154"
"416","306","86"
"284","255","-38"
"910","381","-13"
"112","86","-53"
"170","141","-26"
"280","245","25"
"196","184","43"
"164","144","-59"
"199","169","-6"
"285","225","-50"
"233","210","-42"
"102","93","-96"
"114","105","236"
"206","183","12"
"762","66","4"
"149","127","22"
"146","137","-68"
"126","92","-118"
"121","110","37"
"1522","719","254"
"108","98","-38"
"210","188","-38"
"542","279","-21"
